Frequencia(Hz),Original_Magnitude,Filtrado_Magnitude
567.00,2340323.699062,2242324.362771
567.10,2339408.188182,2241398.856710
567.20,2339444.298513,2241451.529002
567.30,2340288.820564,2242146.763885
567.40,2340195.436642,2241920.509314
567.50,2339278.978841,2241045.249142
567.60,2339544.503042,2241278.967292
567.70,2340352.441728,2241900.373977
567.80,2339761.014284,2241248.460570
567.90,2339148.159541,2240685.583699
568.00,2339977.989505,2241400.697426
568.10,2340208.784077,2241467.140765
568.20,2339506.792247,2240769.110142
568.30,2339406.362926,2240678.835142
568.40,2340261.335160,2241363.820588
568.50,2340015.805259,2241010.292755
568.60,2339104.965929,2240154.151454
568.70,2339661.465809,2240642.168265
568.80,2340442.103252,2241230.826933
568.90,2339647.639582,2240410.875647
569.00,2339160.579004,2239965.380298
569.10,2340150.660363,2240807.130261
569.20,2340143.057082,2240656.831551
569.30,2339229.722554,2239779.038385
569.40,2339521.054299,2240043.496849
569.50,2340326.946299,2240664.536434
569.60,2340040.501837,2240297.678498
569.70,2339170.344145,2239488.114142
569.80,2340025.631238,2240232.264089
569.90,2340332.450016,2240369.051280
570.00,2339461.055923,2239504.552002
570.10,2339464.172404,2239515.567397
570.20,2340278.676329,2240163.123933
570.30,2339965.339487,2239741.484255
570.40,2339218.987239,2239041.891083
570.50,2339744.618975,2239501.587891
570.60,2340367.728373,2239938.296375
570.70,2339569.461460,2239113.545110
570.80,2339330.184455,2238905.320915
570.90,2340124.095520,2239558.080091
571.00,2340228.821217,2239514.746980
571.10,2339272.141486,2238596.361868
571.20,2339541.799449,2238838.232863
571.30,2340272.870876,2239385.483545
571.40,2339888.542465,2238927.009964
571.50,2339132.295873,2238226.911333
571.60,2339935.374910,2238916.381373
571.70,2340302.094043,2239110.553222
571.80,2339348.729895,2238171.934608
571.90,2339424.851175,2238249.394499
572.00,2340156.536304,2238812.452127
572.10,2340098.971414,2238640.168724
572.20,2339335.129720,2237926.689587
572.30,2339727.271811,2238250.725451
572.40,2340422.570618,2238754.839136
572.50,2339699.060635,2238009.844034
572.60,2339323.822960,2237668.727039
572.70,2340031.526096,2238229.489322
572.80,2340198.346029,2238250.855528
572.90,2339323.777461,2237418.152782
573.00,2339518.558912,2237578.372503
573.10,2340288.924703,2238157.842339
573.20,2339736.705316,2237550.305670
573.30,2339343.249362,2237197.266296
573.40,2339918.415432,2237654.750812
573.50,2340304.668255,2237871.461667
573.60,2339425.600421,2237016.120074
573.70,2339384.402756,2236971.119807
573.80,2340297.462333,2237697.079253
573.90,2340043.290540,2237350.233180
574.00,2339310.458002,2236671.144668
574.10,2339827.582167,2237097.108968
574.20,2340383.420467,2237468.090588
574.30,2339708.176169,2236786.428147
574.40,2339417.448695,2236517.887096
574.50,2340090.969583,2237029.587990
574.60,2340075.189686,2236889.886410
574.70,2339347.171370,2236208.051863
574.80,2339510.930591,2236318.847687
574.90,2340262.955866,2236875.624145
575.00,2339650.113922,2236231.515462
575.10,2339418.463275,2236028.850013
575.20,2339906.432128,2236380.890535
575.30,2340224.715065,2236544.083796
575.40,2339227.491243,2235593.220668
575.50,2339513.439246,2235840.785925
575.60,2340259.791060,2236395.589888
575.70,2339928.634462,2235999.247709
575.80,2339271.097463,2235393.704678
575.90,2339790.466013,2235794.725896
576.00,2340424.459455,2236247.798401
576.10,2339593.239628,2235440.949287
576.20,2339347.849867,2235197.359958
576.30,2340118.450088,2235782.844589
576.40,2340019.201331,2235588.442115
576.50,2339172.343201,2234801.619782
576.60,2339719.602051,2235248.156332
576.70,2340313.611311,2235655.633871
576.80,2339805.713050,2235141.498403
